Oberkategorie;Fragenkomplex;Hauptthema;Unterthema
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);01 - Kommunikation;Aktives Zuhören
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);01 - Kommunikation;Kommunikationsmodelle (z. B. Telefonkonferenzen, Chat, virtuelle Teambesprechung),
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);01 - Kommunikation;Verkaufsgespräche (Anfrage, Angebot, Auftrag)
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);01 - Kommunikation;Analyse der Kundenbedürfnisse -> nicht Bestandteil der schriftlichen Prüfung
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);02 - Kundenbeziehungen unter Beachtung rechtlicher Regelungen und betrieblicher Grundsätze gestalten;Customer Relationship Management
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);02 - Kundenbeziehungen unter Beachtung rechtlicher Regelungen und betrieblicher Grundsätze gestalten;Gesetz gegen unlauteren Wettbewerb
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);02 - Kundenbeziehungen unter Beachtung rechtlicher Regelungen und betrieblicher Grundsätze gestalten;AGB-Gesetz,
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);02 - Kundenbeziehungen unter Beachtung rechtlicher Regelungen und betrieblicher Grundsätze gestalten;Compliance
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);02 - Kundenbeziehungen unter Beachtung rechtlicher Regelungen und betrieblicher Grundsätze gestalten;Regelkonformität
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);03 - Instrumente zur Datenauswertung kennen und bedarfsgerecht auswählen sowie Ergebnisse interpretieren können;Präsentatlonstechniken
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);03 - Instrumente zur Datenauswertung kennen und bedarfsgerecht auswählen sowie Ergebnisse interpretieren können;Grafische Darstellung (Diagrammarten, Bilderbearbeitung, Videos, multimediale Aufbereitung)
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);03 - Instrumente zur Datenauswertung kennen und bedarfsgerecht auswählen sowie Ergebnisse interpretieren können;Visualisierung
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);03 - Instrumente zur Datenauswertung kennen und bedarfsgerecht auswählen sowie Ergebnisse interpretieren können;Tabellenkalkulation
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);03 - Instrumente zur Datenauswertung kennen und bedarfsgerecht auswählen sowie Ergebnisse interpretieren können;Präsentationsprogramme
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);03 - Instrumente zur Datenauswertung kennen und bedarfsgerecht auswählen sowie Ergebnisse interpretieren können;Programme zum Erstellen multimedialer Inhalte
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;01 - Informieren und Beraten von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 2);03 - Instrumente zur Datenauswertung kennen und bedarfsgerecht auswählen sowie Ergebnisse interpretieren können;Corporate ldentity (Cl)
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;02 - Beurteilen marktgängiger IT-Systeme und kundenspezifischer Lösungen (§ 4 Absatz 2 Nummer 3);01 - Chancen und Risiken der technischen Entwicklungen kennen und identifizieren können;Datensicherheit, Datenschutz
Teil 2 der Abschlussprüfung - 01 Fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten;02 - Beurteilen marktgängiger IT-Systeme und kundenspezifischer Lösungen (§ 4 Absatz 2 Nummer 3);01 - Chancen und Risiken der technischen Entwicklungen kennen und identifizieren können;Ausfallsicheiheit, bspw. redundante Systeme, selbstkonfigurieiende Systeme
